"outcome","output","indicators","description","start date","end date","unit","baseline","target 2023","reached 2023","narrative 2023","target 2024","reached 2024","narrative 2024","target 2025","reached 2025","narrative 2025","target 2026","reached 2026","narrative 2026","target 2027","reached 2027","narrative 2027","Means of Verification","sdg","agency abbreviations","agencies"
"Efeito 1: Até 2027, mais pessoas, especialmente as que vivem em situações de mais vulnerabilidade ou marginalização e as que vivem com deficiências, terão acesso equitativo e utilização de serviços sociais essenciais e de proteção de alta qualidade, resilientes, sensíveis ao género e modernos. / Outcome 1: By 2027, more people, especially those living in the most vulnerable and marginalized situations and those living with disabilities, have equitable access to and use of high-quality, resilient, gender-responsive, and modern essential social services and protection.","Produto 1.1.3: As políticas e os quadros regulamentares permitem melhor acesso, utilização e modernização de serviços sociais e de protecção inclusivos, digitais, sensíveis ao género e resilientes, incluindo para os assentamentos informais.","Number of national policies on health, including overall health or specific health areas such as nutrition policies, physical activity, sexual and reproductive health, non-communicable and communicable diseases, in accordance with human rights standards are developed and adopted, supported by the UN","REF. # INDICADOR MENU DE PRODUTO: OI 3.1
LINHA DE BASE: 3
META: 3
AGÊNCIA RESPONSÁVEL: OMS: Luciana Chagas; UNFPA/UNICEF: Ana Paula Maximiano
FONTE / MEIOS DE VERIFICAÇÃO: 1. Relatórios de implementação do Plano Multisectorial de redução da DCN; 2. Relatório SPAR (Relatório Anual de Auto-Avaliação do Estado Parte); 3. Relatórios Anuais dos Programas do MISAU para Crianças e Adolescentes","2023-01-01","2027-12-31","Number",6,"-",11,"Lei do Álcool3a edição do Guia de Vigilancia Integrada de Doenças e Resposta da OMSPlano de prevenção do paludismo, TB e Lepra (protocolo).Plano operacional malária.Relatório da Avaliação da Gestão Eficaz das Vacinas (GEV)Relatórios de implementação do Plano Multisetorial para a redução das NCD - relatório de avaliação realizado em 2023Legislação/proposta diploma legal sobre redução do consumo do sal, açúcar e gordura para a prevançaõ das NCDs discutidaRelatório SPAR - State Party Self Assesment Annual ReportMentoria para operacionalização do Centro Nacional de Operações em EmergênciasSTEPS report (o 3o STEPS report será realizado em 2028)","-",14,"Estratégia Nacional de Vacinação 2025-2029 (ENV 2025-2029)Diretrizes para o atendimento das Infeções Sexualmente Transmissíveis, incluindo o VIH em Cabo VerdeNovo Plano Multisetorial Integrado para prevenção e controlo das DNT 2024 - 2028 lançado em 2024Plano Estratégico de Saúde Sexual e Reprodutiva 2024-2028Plano Nacional de Saúde Da Criança e do Adolescente 2023-2027&nbsp;","-",27,"Carta da Praia - Compromissos multisectoriais para Prevenção da Mutilação Genital Feminina aprovada/Diálogo Multisectorial para prevenção, através da Cooperação Sul Sul com Guiné Bissau e Portugal2 Protocolos assinados entre o Ministério da Saúde e as Câmaras Municipais do Concelho da Brava e do Cocelho da Ribeira Brava - ilha de São Nicolau - No âmbito da colaboração entre o UNICEF, UNFPA e o Programa de Saúde do Adolescente","-","-","-",10,"-","-",,,"UNICEF; WHO","United Nations Children's Fund; World Health Organization"
"Efeito 1: Até 2027, mais pessoas, especialmente as que vivem em situações de mais vulnerabilidade ou marginalização e as que vivem com deficiências, terão acesso equitativo e utilização de serviços sociais essenciais e de proteção de alta qualidade, resilientes, sensíveis ao género e modernos. / Outcome 1: By 2027, more people, especially those living in the most vulnerable and marginalized situations and those living with disabilities, have equitable access to and use of high-quality, resilient, gender-responsive, and modern essential social services and protection.","Produto 1.1.1: As instituições nacionais, os parceiros sociais e as organizações da sociedade civil, têm maiores e melhores capacidades para fornecer, inovar e fazer parcerias para a protecção social e a proteção das crianças e adolescentes, os serviços essenciais, e sistemas de dados, monitorização e informação.","Level of strength of the primary health care (PHC) system, achieved with UN's  support","REF. # INDICADOR MENU DE PRODUTO 64: OI 3.2
LINHA DE BASE: 17 (2022) Comentários:1. Cuidados de Saúde Primários (PHC) - O país não tem uma estratégia de saúde digital (alavanca 11 na nota metodológica)2. Cobertura Universal da Saúde (UHC) - Plano de Reforço ERIS criado (alavanca 2 na nota metodológica) (2022)3. Plano de gestão de resíduos sanitários/sector da saúde com 1 incinerador funcional - 7.UNICEF: Baseline (escala de classificação de 0 a 41) = 13[Opções Alavanca 1 = 1; Opções 1 = Alavancas 3,5,6,7,11,13; Opções 2 = Alavancas 2, 8, 14]OMS: Baseline (escala de classificação de 0 a 41) = 17
META: 28 (2027) Comentários:1. Cuidados de saúde primários (PHC) - Ter uma estratégia de saúde digital até 2027 (Alavanca 11 - Tecnologias digitais para a saúde)2. Cobertura Universal da Saúde (UHC) - Plano de Reforço ERIS implementado (componente de formação) (Alavanca 2 - Quadros de governação e políticas)3. Plano de gestão de resíduos sanitários implementado/País com 10 incineradores funcionais e capacidade técnica reforçada - 7UNICEF: Meta (escala de classificação de 0 a 41) = 20[Alavanca de Opções 1 = 2; Opções 2= 2,3,5,6,7,8,11,13,14]OMS: Meta (escala de classificação de 0 a 41) = 28
AGÊNCIA RESPONSÁVEL: OMS: Luciana Chagas; UNICEF/UNFPA: Paula Maximiano","2023-01-01","2027-12-31","Range","17","-",21,"Contribuições da OMS nos diferentes levers:Avaliação dos Plano das Doenças Crónicas Não-Transmissíveis, Plano de Promoção da Saúde, Plano da Saúde do Idoso, Ação Climática, National Health Accounts.&nbsp;OMS está a contribuir para a implementação das Contas Nacionais dos RH em saúde.OMS tem trabalhado com SIS para a padronização e uso dos sistemas e desenvolvimento de uma estratégia de saúde digital. UNICEF e UNFPA apoiaram o GTSIS/MS neste processoContribuição de UNICEF nos diferentes levers:Plano Nacional de Resíduos Hospitalares Plano Nacional da Saúde da Criança e do Adolescente 2023-2027 Alimentação Saudável/Alimentação Segura promovida no seio de crianças e adolescentes; e iii) Redução do consumo do sal, açúcar e gordura promovida com matéria de informação produzido;Programa para redução anemia em crianças e mulheres grávidas implementado com i) suplementação de ferro nas escolas; ii) Distribuição de ferro a 100% das grávidas/puérperas e iii) micronutrientes adquiridos via UNICEF Supply DivisionAleitamento Materno imediato e exclusivo promovido a nível nacional, com i) Dia de doação de Leite Humano comemorado a nível nacional ii) 2 Postos de coleta de Leite Humano reactivados nos Centros de Saúde de Tira Chapéu e de Fazenda – Praia e iii) Código de Comercialização dos Substitutos do Leite Materno difundido a nível nacional através da comunicação social e redes sociais.No âmbito da colaboração entre o UNICEF, UNFPA e o Programa de Saúde do Adolescente, 2 Protocolos foram assinados entre o Ministério da Saúde e as Câmaras Municipais do Tarrafal e da Ribeira Brava de São NicolauUNFPA apoiou o reforço técnico do MS, através do Programa de Saúde Sexual e Reprodutiva, no que se refere ao Sistema de Informação Sanitária e seguimento dos dados","-",23,"Contribuições da OMS nos diferentes levers:Capacitação de coordenadores de programa em qualidade na saúde e segurança do doente&nbsp;Formação de formadores sobre Contas Nacionais de Recursos Humanos da Saúde e Análise do Mercado de Trabalho de Saúde (cerca de 25 pessoas) em parceria com outros SIDS, Guiné-Bissau e São Tomé e PrincipeIntegração da plataforma do Observatório Nacional da Saúde com a plataforma do Observatório Africano da Saúde – fase 2; reforço da atualização do DHIS-2 (District health information software) com a elaboração do Dicionário de Indicadores de Saúde e a formação de Formadores sobre DHIS-2 (cerca de 40 pessoas)Assistência técnica da OMS para o desenvolvimento da Estratégia Nacional de Saúde Digital e Participação nas reuniões da Comissão Intersectorial de Coordenação e Acompanhamento (CICA) da ENSDAssistência técnica da OMS na capacitação de coordenadores de programa em qualidade na saúde e segurança do doenteAssistência técnica da OMS para a formação de formadores sobre Contas Nacionais de Recursos Humanos da Saúde e Análise do Mercado de Trabalho de Saúde (cerca de 25 pessoas) em parceria com outros SIDS, Guiné-Bissau e São Tomé e PrincipeAssistência técnica da OMS para integrar a plataforma do Observatório Nacional da Saúde com a plataforma do Observatório Africano da Saúde – fase 2; reforçar a atualização do DHIS-2 (District health information software) com a elaboração do Dicionário de Indicadores de Saúde e a formação de Formadores sobre DHIS-2 (cerca de 40 pessoas)Assistência técnica da OMS para o desenvolvimento da Estratégia Nacional de Saúde Digital e Participação nas reuniões da Comissão Intersectorial de Coordenação e Acompanhamento (CICA) da ENSDContribuição do Escritório Conjunto do PNUD, UNFPA, UNICEF nos diferentes levers:Estudo de Impacto Ambiental elaborado no âmbito do processo de gestão dos resíduos sólidosNo âmbito da colaboração entre o UNICEF, UNFPA e o Programa de Saúde do Adolescente, 2 Protocolos foram assinados entre o Ministério da Saúde e as Câmaras Municipais do Maio e do Tarrafal de SantiagoUNICEF mobilizou recursos financeiros no total de 260.000 USD para a preparação e reposta à epidemia da Dengue;UNICEF mobilizou 25.000 USD para a implementação do Plano de Preparação e Reposta à Mpox - Eixo Comunicação.UNFPA apoiou o reforço técnico do MS através do Programa de Saúde Sexual e Reprodutiva, no que se refere ao Sistema de Informação Sanitária e seguimento dos dados;&nbsp;","-",24,"Contribuição do Escritório Conjunto do PNUD, UNFPA, UNICEF nos diferentes levers:Processo de Financiamento Inovador em Saúde iniciado - Relatório com Recomendações identificadas para financiamento alternativo da saúde aprovado pelo Ministro da Saúde;Plano Nacional de Alimentação e Nutrição (PNAN) 2020-2025 avaliada; Recomendações para o PNAN 2026-20304 Projetos de Mobilização de recursos financeiros adicionais para:i) Introdução de vacinas Rotavírus e Pneumocócica (PCV 13) - 130.000 USD para aquisição de vacinas, formação dos profissionais de saúde e comunicação visando adesãoii) Reforço dos cuidados de Saúde Materno-Infantil através do UNICEF/India Fund - 749.000 USD para 2026 e 2027;iii) Prevenção da Mutilação Genital Feminina através do UNICEF/Lux Nat Com - 105.000 USD para 2025 e 2026iv) Resposta à situação emergência ERIN em São Vicente através do UNICEF/USA Nat Com - 60.000 USD para 2025 e 2026","-","-","-","28","-","-","1. Publicação da estratégia no website/boletim oficial do Ministério da Saúde (OMS)2. Relatórios de formação (OMS)3. PEDS/Planos Estratégicos Sectoriais/Plano Nacional de Gestão de Resíduos Hospitalares, 4. Acordos de parceria assinados entre o MISAU e os municípios e o sector privado5. Relatórios de mobilização de fundos da UNICEF6. Relatórios das Direções do MS e dos Programas de Saúde Pública (Nutrição/EPI/PSA/SRHR/HIV/DGPOG)",,"UNFPA; UNICEF; WHO","United Nations Population Fund; United Nations Children's Fund; World Health Organization"
"Efeito 3.1: Até 2027, mais pessoas, especialmente mulheres, jovens e grupos vulneráveis, exercerão livremente os seus direitos, participarão e beneficiarão de instituições inclusivas, resilientes, transparentes e responsáveis e de um sistema de governação democrática mais modernizado, transformador e eficaz que defenda o Estado de direito, a nível nacional e local. / Outcome 3: By 2027, more people, especially women, youth and those in vulnerable groups, freely exercise their rights, participate in, and benefit from, inclusive, resilient, transparent, and accountable institutions and a more modernized, transformative and effective system of democratic governance that upholds the rule of law, at national and local levels.","Produto 3.1.4: Os sistemas de justiça e segurança são reforçados para melhorar o acesso, ser responsável, eficaz e eficiente, prevenir a violência, lutar contra o tráfico ilícito e os crimes, especialmente os crimes contra mulheres e crianças, e proporcionar uma solução eficaz.","Programas e serviços nacionais novos ou reforçados para prevenir o tráfico de pessoas (TIP), proteger as vítimas de tráfico e processar os traficantes, apoiados pelas Nações Unidas","REF. # INDICADOR MENU DE PRODUTO: Indicador do inventário16.2.2_1
LINHA DE BASE: NÃO (Programas e serviços nacionais novos ou reforçados) (2022)
META: SIM(Programas e serviços nacionais novos ou reforçados)OIM: Manual/SOP de Procedimentos Operacionais contra o Tráfico de Pessoas em Cabo Verde e o seu Kit de Ferramentas e cartaz de Fluxograma (2023)
AGÊNCIA RESPONSÁVEL: ONUDC: Cristina Andrade; OIM: Fátima Falua
FONTE / MEIOS DE VERIFICAÇÃO: Relatório Final do Projecto ""Reforço das capacidades do Governo no combate ao tráfico de pessoas em Cabo Verde (T&TA)"", incluindo a informação sobre o número do Manual/SOP de Procedimentos Operacionais contra o Tráfico de Pessoas em Cabo Verde e o seu Kit de Ferramentas e cartaz de Fluxograma distribuído a nível nacional aos intervenientes no terreno contra o tráfico.","2023-01-01","2023-12-31","Binary","NO (New or enhanced national programs and services)","YES (New or enhanced national programs and services)","NO","ONUDC - Proposta de Segundo Plano contra o Tráfico de Pessoas em Cabo Verde submetido ao Governo, para apreciação.OIM - O Manual/SOP de Procedimentos Operacionais contra o Tráfico de Pessoas em Cabo Verde deverá sofrer algumas alterações identificadas ao desenvolver os respectivos Kit de Ferramentas e cartaz de Fluxograma (que se encontram na fase final de revisão). ","-","-","-","-","-","-","-","-","-","-","-","-","Relatório Final do Projecto \""Reforço das capacidades do Governo no combate ao tráfico de pessoas em Cabo Verde (T&TA)\"", incluindo a informação sobre o número do Manual/SOP de Procedimentos Operacionais contra o Tráfico de Pessoas em Cabo Verde e o seu Kit de Ferramentas e cartaz de Fluxograma distribuído a nível nacional aos intervenientes no terreno contra o tráfico.",,"IOM; UNODC","International Organization for Migration; United Nations Office on Drugs and Crime"
"Efeito 1: Até 2027, mais pessoas, especialmente as que vivem em situações de mais vulnerabilidade ou marginalização e as que vivem com deficiências, terão acesso equitativo e utilização de serviços sociais essenciais e de proteção de alta qualidade, resilientes, sensíveis ao género e modernos. / Outcome 1: By 2027, more people, especially those living in the most vulnerable and marginalized situations and those living with disabilities, have equitable access to and use of high-quality, resilient, gender-responsive, and modern essential social services and protection.","Produto 1.1.2: Mais pessoas em situação de vulnerabilidade e marginalizadas têm acesso e são empoderadas através da educação, cuidados de saúde de qualidade e ferramentas para exercer os seus direitos.","O governo está activamente empenhado e apoiado pelas Nações Unidas em questões relacionadas com o desenvolvimento sustentável, cidadania global, direitos humanos, igualdade de género, saúde e bem-estar","REF. # INDICADOR: Indicador do inventário 4.7.1_6
LINHA DE BASE: Não (2022)
META: Sim (2024)
AGÊNCIA RESPONSÁVEL: Adele Nibona (Xavier Hospital)
FONTE / MEIOS DE VERIFICAÇÃO: Relatório sobre a iniciativa nacional de educação para o desenvolvimento sustentável para 2030; UNESCO; UNFPA: Relatório da ceremónia de engajamento da Africa Occidental e Central para Adolescentes e Jovens Educados, Saudáveis e Realizados","2023-01-01","2024-12-31","Binary","No","No","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","Relatório MIOTH sobre a implementação do Plano Nacional de Habitação; Relatório de Implementação do Plano de Regeneração Urbana;",,"UNESCO; UNFPA","United Nations Educational, Scientific and Cultural Organisation; United Nations Population Fund"
"Efeito 3.1: Até 2027, mais pessoas, especialmente mulheres, jovens e grupos vulneráveis, exercerão livremente os seus direitos, participarão e beneficiarão de instituições inclusivas, resilientes, transparentes e responsáveis e de um sistema de governação democrática mais modernizado, transformador e eficaz que defenda o Estado de direito, a nível nacional e local. / Outcome 3: By 2027, more people, especially women, youth and those in vulnerable groups, freely exercise their rights, participate in, and benefit from, inclusive, resilient, transparent, and accountable institutions and a more modernized, transformative and effective system of democratic governance that upholds the rule of law, at national and local levels.","Produto 3.1.2: As instituições estatais reforçaram as capacidades para um desenho e implementação de políticas e estratégias mais coerentes, transparentes, responsáveis, baseadas em provas e resultados, participativas e inovadoras a todos os níveis, a fim de abordar barreiras estruturais, aumentar o crescimento económico, reduzir as disparidades territoriais e sociais e fazer avançar a igualdade de género e os direitos humanos.","Número de leis que foram adoptadas, revistas ou revogadas para promover a igualdade de género e o empoderamento das mulheres com base em normas e padrões internacionais de direitos humanos desenvolvidos, com o apoio das Nações Unidas, para: (a) eliminar a violência contra mulheres e raparigas (EVAWG), incluindo práticas nocivas (HP); e (b) Promover a igualdade de acesso aos cuidados, informação e educação em saúde sexual e reprodutiva (SRH) com base em normas e padrões internacionais de direitos humanos","REF. # INDICADOR MENU DE PRODUTO: Este indicador foi retirado do Menu (e não foi incluído no Inventário). Não tem código.
LINHA DE BASE: (a) UNFPA: Existem 2 Leis - Lei Especial sobre Violência Baseada no Género / Lei de Paridade (b) N/A (2022)
META: Total: 3 revistas: (a) UNFPA: contribuir para a revisão da (a) Lei Especial sobre Violência Baseada no Género / Lei de Paridade | UNESCO: contribuir para a revisão do EVAWG(b) N/A (2027)
AGÊNCIA RESPONSÁVEL: UNFPA: Elisabete MendesUNESCO: Adele Nibona
FONTE / MEIOS DE VERIFICAÇÃO: Publicação no Boletim Oficial com revisão aprovada","2023-01-01","2027-12-31","Number","There are 2 Laws - Special Law on Gender-Based Violence / Parity Law","There are 2 Laws - Special Law on Gender-Based Violence / Parity Law","There are 2 Laws - Special Law on Gender-Based Violence / Parity Law0","-","There are 2 Laws - Special Law on Gender-Based Violence / Parity Law","There are 2 Laws - Special Law on Gender-Based Violence / Parity Law0","-","There are 2 Laws - Special Law on Gender-Based Violence / Parity Law","There are 2 Laws - Special Law on Gender-Based Violence / Parity Law0","-","There are 2 Laws - Special Law on Gender-Based Violence / Parity Law","-","-","Total: 3 revised laws","-","-","Publicação no Boletim Oficial com revisão aprovada",,"UNFPA","United Nations Population Fund"
"Efeito 2.2: Até 2027, os principais ecossistemas marinhos e terrestres e a biodiversidade estarão melhor protegidos, restaurados e geridos de forma mais sustentável, e a resiliência aos choques e impactos das alterações climáticas será melhorada e mais sensíveis às questões do género. / Outcome 2.2: By 2027, key marine and land ecosystems and biodiversity are better protected, restored, and more sustainably managed and the resilience to shocks and climate change are improved and gender responsive.","Produto 2.2.4: Os atores têm melhor acesso ao conhecimento, técnicas e tecnologias inovadoras para um planeamento territorial integrado sensível ao género, incluindo a tomada de decisões sobre o uso da terra e do mar, o funcionamento saudável dos ecossistemas e o aumento sustentável dos serviços prestados.","Mecanismos interinstitucionais em vigor para a gestão do património cultural e natural, incluindo o turismo sustentável, apoiados pelas Nações Unidas","REF. # INDICADOR MENU DE PRODUTO: Indicador do inventário8.9.1_1
LINHA DE BASE: Sim (mas não em vigor)(2022)
META: Sim(2027) - (Mecanismos ou grupos de trabalho activos inter-sectoriais e inter-regionais, tais como grupos de trabalho formados por representantes do Ministério da Cultura e do Ministério do Ambiente e da Agricultura que estão empenhados na protecção dos conhecimentos tradicionais detidos pelas comunidades sobre a utilização sustentável dos recursos naturais/ou uma equipa de peritos em património subaquático do Senegal e de Cabo Verde que estão colectivamente empenhados na protecção do seu património submerso).
AGÊNCIA RESPONSÁVEL: UNESCO: Adele NibonaUNDP: Maria Benchimol
FONTE / MEIOS DE VERIFICAÇÃO: Relatório anual do IPC sobre actividades para a protecção do património mundial (natural e cultural), património cultural imaterial, património cultural subaquáticoRelatórios de projectos da UNESCO: Gestão e Protecção Sustentáveis do Património Cultural Subaquático; Gestão do Património Mundial pós COVID-19: integração de estratégias de conservação, turismo e meios de subsistência locais em sítios do património mundialRelatório Anual do PNUD GEF-6","2023-01-01","2027-12-31","Binary","NO","-","-","-","-","-","UNDP: O projecto PNUD-GEF, 2Governacao da Biodiversidade"" foi aprovado em 2023 e está previsto o seu arranque em 2024","-","-","-","-","-","-","YES","-","-","Relatório anual do IPC sobre actividades para a protecção do património mundial (natural e cultural), património cultural imaterial, património cultural subaquáticoRelatórios de projectos da UNESCO: Gestão e Protecção Sustentáveis do Património Cultural Subaquático; Gestão do Património Mundial pós COVID-19: integração de estratégias de conservação, turismo e meios de subsistência locais em sítios do património mundialRelatório Anual do PNUD GEF-6",,"-","-"
"Efeito 3.1: Até 2027, mais pessoas, especialmente mulheres, jovens e grupos vulneráveis, exercerão livremente os seus direitos, participarão e beneficiarão de instituições inclusivas, resilientes, transparentes e responsáveis e de um sistema de governação democrática mais modernizado, transformador e eficaz que defenda o Estado de direito, a nível nacional e local. / Outcome 3: By 2027, more people, especially women, youth and those in vulnerable groups, freely exercise their rights, participate in, and benefit from, inclusive, resilient, transparent, and accountable institutions and a more modernized, transformative and effective system of democratic governance that upholds the rule of law, at national and local levels.",,"3.1.4 Total de fluxos de recursos para o desenvolvimento, por países beneficiários e doadores e tipo de fluxo (por exemplo, ajuda pública ao desenvolvimento, investimento directo estrangeiro e outros fluxos) (UNDP, UNCTAD)","LINHA DE BASE: • Ajuda Pública ao Desenvolvimento: 18,346 milhões de CVE (2015); • Investimento Direto Estrangeiro no País: 9.036,6 milhões de CVE (2021); • Remessas de emigrantes (corrente e capital): 25,833.4 milhões de CVE (2021)
META 2027: • Assistência Oficial ao Desenvolvimento: 22,000 milhões de CVE; • Investimento Direto Estrangeiro no País: 14,500 milhões de CVE; • Remessas de emigrantes (corrente e capital): 32,415 milhões de CVE
AGÊNCIA RESPONSÁVEL: UNDP: Frederic Mbassa; UNCTAD: Jean-Philippe Rodde
FONTE / MEIOS DE VERIFICAÇÃO: Relatório Anual do Banco de Cabo Verde","2023-01-01","2027-12-31","-","18,346; 9,036; 25,883","-","-","-","-","-","-","-","-","-","-","-","-","22,000; 14,500; 32,415","-","-","Relatório Anual do Banco de Cabo Verde","Total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",,
"Efeito 2.2: Até 2027, os principais ecossistemas marinhos e terrestres e a biodiversidade estarão melhor protegidos, restaurados e geridos de forma mais sustentável, e a resiliência aos choques e impactos das alterações climáticas será melhorada e mais sensíveis às questões do género. / Outcome 2.2: By 2027, key marine and land ecosystems and biodiversity are better protected, restored, and more sustainably managed and the resilience to shocks and climate change are improved and gender responsive.",,"2.2.4 Existência de contribuições determinadas a nível nacional, estratégias a longo prazo, planos nacionais de adaptação e comunicações de adaptação, tal como comunicadas ao Secretariado da Convenção-Quadro das Nações Unidas sobre Alterações Climáticas (UNDP, UNESCO)","LINHA DE BASE: Cabo Verde tem:- contribuições determinadas a nível nacional - SIM- estratégias a longo prazo - SIM - Roteiro- planos nacionais de adaptação - SIM, e - comunicações de adaptação a serem preparadas(2022)
META 2027: Relatórios/atualização dos planos e estratégias nacionais de acordo com os exigências da UNFCCC
AGÊNCIA RESPONSÁVEL: UNDP: Maria Benchimol; UN HABITAT: Jeiza Barbosa
FONTE / MEIOS DE VERIFICAÇÃO: Ministério da Agricultura e do Ambiente (DNA) - Comunicação Nacional a cada 5 anos e Relatório Bianual (BUR) das Alterações Climáticas e Comunicação Nacional","2023-01-01","2027-12-31","-","3","3","3","O NDC é uma Estratégia Nacional do Governo no âmbito do Acordo de Paris- UNFCCC) em vigor até 2030. UNDP vem contribuindo para a sua implementação através do Projeto Quarta Comunicação-BUR que encerra em 2024.","3","3","NDC 2021 encontra-se em&nbsp;execucao pelo Governo. Foi submetido o 1 Relatório Bienal sobre mudancas climaticas ao UNFCC e submetido ao Governo o documento de&nbsp;Quarta Comunicacao nacional sobre as Mudancas climaticas a ser submetido ao Secretariado em inicio de 2025&nbsp;","3","-","Preparado e submetido o NDC 3.0 ao UNFCCC","-","-","-","2","-","-","Ministério da Agricultura e do Ambiente (DNA) - Comunicação Nacional a cada 5 anos e Relatório Bianual (BUR) das Alterações Climáticas e Comunicação Nacional","Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the United Nations Framework Convention on Climate Change",,
"Efeito 2.1: Até 2027, uma economia mais sustentável, inclusiva, diversificada e integrada gerará empregos decentes, segurança alimentar e nutrição para os mais vulneráveis, especialmente as mulheres, os jovens e os mais pobres. / Outcome 2.1: By 2027, a more sustainable, inclusive, diversified and integrated economy generates decent jobs, food security and nutrition for the most vulnerable, especially women, youth and the extreme poor.",,"2.1.4 Proporção da superfície agrícola sob agricultura produtiva e sustentável (FAO)","LINHA DE BASE: Área agrícola: 70.433 haProporção da área agrícola: 17%(2020, Proxy)
META 2027: Área agrícola: 70.433 haProporção da área agrícola: 17%.
AGÊNCIA RESPONSÁVEL: FAO: Katya Mascarenha
FONTE / MEIOS DE VERIFICAÇÃO: Dados administrativos produzidos pela DGASP - MAARecenseamento Geral da Agricultura de 2025","2023-01-01","2027-12-31","%","17","-","-","Não existem dados a reportar em 2023. ","-","-","-","-","-","-","-","-","-","17","-","-","Dados administrativos produzidos pela DGASP - MAARecenseamento Geral da Agricultura de 2025","Proportion of agricultural area under productive and sustainable agriculture",,
"Efeito 1: Até 2027, mais pessoas, especialmente as que vivem em situações de mais vulnerabilidade ou marginalização e as que vivem com deficiências, terão acesso equitativo e utilização de serviços sociais essenciais e de proteção de alta qualidade, resilientes, sensíveis ao género e modernos. / Outcome 1: By 2027, more people, especially those living in the most vulnerable and marginalized situations and those living with disabilities, have equitable access to and use of high-quality, resilient, gender-responsive, and modern essential social services and protection.",,"1.1.4 Cobertura dos serviços essenciais de saúde (WHO, UNFPA, UNODC)","LINHA DE BASE: Índice Universal de Cobertura da Saúde: 69 (2019)
META 2027: Índice: 89
AGÊNCIA RESPONSÁVEL: OMS: Luciana Chagas/Edith Pereira; UNFPA: Ana Paula Maximiano; ONUDC: Cristina Andrade
FONTE / MEIOS DE VERIFICAÇÃO: Ministério da Saúde e da Segurança Social, Relatório Estatístico Anual Fonte: https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-index-of-service-coverage","2023-01-01","2027-12-31","Index","69","80","79","Comentário OMS: De acordo com projeção do indicador 3.8.1, é estimado um aumento de 69 em 2019 para 79 em 2023. O indicador 3.8.1 é um index composto por 14 indicadores. Desses, são observados avanços nos indicadores de cobertura de vacinação, de redução de doenças transmissíveis (a exemplo da eliminação da malária no país), além dos avanços da implementação do Regulamento Sanitário Internacional.","82","81","Comentário OMS: De acordo com projeção do indicador 3.8.1, é estimado um aumento de 69 em 2019 para 81 em 2024. Esse indicador 3.8.1 é um index composto por 14 indicadores. Desses, são observados avanços nos indicadores de cobertura de vacinação, de redução de doenças transmissíveis (a exemplo da eliminação da malária no país), além dos avanços da implementação do Regulamento Sanitário Internacional.","85","-","-","88","-","","91","-","-","Ministério da Saúde e da Segurança Social, Relatório Estatístico AnualFonte: https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-index-of-service-coverage","Coverage of essential health services",,
